答案ID,提交时间,答题耗时,若您已确认上述内容并无异议，请选择下方“开始作答”并点击【下一页】进行本次问卷作答。[A:开始作答B:放弃参与（结束作答）],请问您计划参与测试的设备平台是？[A:PC端B:安卓端],请问您计划本次参与测试会使用安卓手机设备品牌是？[A:华为B:vivoC:OPPOD:小米E:荣耀F:一加G:红米H:iQOOI:三星J:魅族K: 其他，请填写：],请问您将用于本次测试的手机处理器属于以下哪一个选项?[A:骁龙865/天玑9000/麒麟9000及以下（如：小米10/华为Mate 40 Pro等）B: 骁龙870/888/Gen1/Gen2或天玑9200（如：小米13/红米K60 Pro等）C:骁龙8Gen3/天玑9300（如红米K80/iQOO Neo10/一加ACE5等）D:骁龙8Elite/天玑9400及以上(如：小米15/红米K80 Pro/一加Ace5Pro等)E:不清楚具体配置，请填写手机品牌和型号： ],请问您的手机运行内存(RAM)为？[A:4GB及以下B:6GBC:8GBD:12GBE:16GB及以上F:不清楚],请问您能够参与本次测试的PC设备的系统版本是？[A:Windows 10 - 32 位B:Windows 10 - 64 位C:Windows 11D:其他 Windows 系统E:其他操作系统],请选择您在测试中将会使用的PC设备的处理器（CPU）型号,请选择您在测试中将会使用的PC设备的显卡型号,您近半年内主要使用哪些设备玩游戏?[A:手机/平板电脑B:笔记本电脑/台式电脑C:家用主机（如Switch、PS、Xbox等）D:以上都没有],以下手机游戏类型中，您曾深入体验过的有哪些? [A:MOBA类（如王者荣耀、英雄联盟手游等）B:模拟经营类（如桃园深处有人家、心动小镇、我的花园世界等）C:卡牌RPG类（如崩坏：星穹铁道、重返未来：1999、明日方舟、阴阳师等）D:动作类（如绝区零、崩坏3、战双帕弥什等）E:战棋类（如梦幻模拟战、天地劫：幽城再临等）F:自走棋类（如金铲铲之战、多多自走棋等）G:休闲放置类（如剑与远征、杖剑传说等）H:SLG类（如三国志战略版、三国谋定天下、三国：冰河时代等）I:开放世界类（如原神、鸣潮、异环等）J:沙盒类（如我的世界、迷你世界等）K:休闲益智类（如开心消消乐、梦幻家园等）L:射击类（如三角洲行动、逆战：未来等）M:即时制MMORPG（如逆水寒手游、天涯明月刀手游等）N:回合制MMORPG（如梦幻西游、问道等）O:横版动作类（如火影忍者手游、DNF手游、归龙潮等）P:Roguelike类（如重生细胞、土豆兄弟等）Q:其他，请补充 _________________R: 以上都没有],以下手机游戏产品中，您曾深入体验过的有哪些? [A:重生细胞B:忍者必须死系列C:苍翼：混沌效应D:影之刃3E:时空猎人系列F:心渊梦境G:霓虹深渊H:艾希I:火影忍者手游J:归龙潮K:地下城与勇士：起源L:造梦西游系列M:以上都没有],以下PC/主机游戏类型中，您最近三个月玩的最多的是？[A:MOBA(如英雄联盟、DOTA2等)B:集换式卡牌类(如炉石传说、万智牌、游戏王:大师决斗等)C:模拟经营类(如沙石镇时光、星露谷物语、露玛岛、双点博物馆等)D:战争策略类(如帝国时代、魔兽争霸、文明系列等)E:MMORPG类(如逆水寒、最终幻想14、魔兽世界等)F:合作/派对类(如双人成行、糖豆人、猛兽派对等)G:沙盒建造/生存类(如幻兽帕鲁、我的世界、七日世界、RUST、饥荒等)H:射击类(如CSGO、无畏契约、守望先锋、Apex、PUBG、三角洲行动等)I:动作RPG(如只狼、黑暗之魂系列、艾尔登法环、怪物猎人系列等）J:开放世界类(如塞尔达传说系列、刺客信条系列、GTA5、巫师3等)K:平台动作/银河恶魔城类（如奥日、艾希、暗影火炬城等）L:JRPG类（如碧蓝幻想relink、最终幻想系列等）M:视觉小说/文字冒险类(如命运石之门、隐形守护者、底特律:变人等）N:其他，请补充 _________________O:以上都没有],请问您主要是被《绿梦：时空之声》的哪些方面吸引，进而参与本次蚀梦测试的?[A:动作战斗玩法B:美术风格C:有感兴趣的喜欢的角色D:游戏热度高E:喜欢尝试新游戏F:剧情世界观G:游戏类型（动作类）H:游戏类型（射击类）I:朋友、UP主推荐J:其他原因，请补充]
GameCenter_2026060995511729,2026-06-09 11:07:52,127,A,A,,,,C,十三代i7,rtx5070,A，B,C，D，I，L,A，C，H，J，L,H，I，J,A，B，E
GameCenter_2026060984101725,2026-06-09 11:07:36,97,A,A，B,D,C,D,B,5600,6750gre,B,,,A，I，L,A，B，G
GameCenter_2026060986111720,2026-06-09 11:06:56,173,A,A，B,B,B,E,C,i9-13900,4060,A，B,C，D,A,B，I,A，B
GameCenter_2026060921561668,2026-06-09 10:58:25,96,A,A，B,H,E，iqoo neo9s pro+,E,B,9600x,7900 gre,B,,,G，H，I，M,B，C，E
GameCenter_2026060919621650,2026-06-09 10:54:59,283,A,A，B,K，一加12和拯救者笔记本,B,C,C,I7-10700,Rt x3060,A，B,A，C，H，I，L,E，J，K,A，H,A，E，G
GameCenter_2026060915761603,2026-06-09 10:47:50,92,A,B,H,B,D,,,,A，B，C,A，C，I，J，O,A，B，I，L,A，H，J,C，E，I
GameCenter_2026060991501590,2026-06-09 10:46:09,78,A,A，B,D,D,E,B,9850x3d,rtx5080,A，B,C，D，F，I，L,D，H，J，K,A，C，F，H,A，B，E
GameCenter_2026060970171580,2026-06-09 10:44:50,267,A,B,E,E，荣耀90GT,E,,,,A，B，C,A，C，D，I，J,A，B，K，L,A，B，G，J，L,B，C，E
GameCenter_2026060920431573,2026-06-09 10:43:11,96,A,A,,,,C,i9-13900hx,4060,B,,,G，H，L,B，C
GameCenter_2026060961521562,2026-06-09 10:41:01,125,A,A，B,D,C,C,C,i7,4060,A，B,A，F，I，L，O,I,H,A，B，E
GameCenter_2026060985011548,2026-06-09 10:38:07,263,A,A，B,D,C,E,C,i7-12800,RTX 4070,A，B,A，C，I，P,H,A，B，E,A，B，C
GameCenter_2026060948931495,2026-06-09 10:27:42,145,A,A,,,,C,7500f,7700xt,A，B,A，C，D，F，I,C，D，H,A，E，H，I,A，B
GameCenter_2026060987601492,2026-06-09 10:27:03,116,A,A，B,E,B,C,C,i512500h,核显,A，B,A，D，J，L,A，I，J，K，L,C，F，I，L,B，F
GameCenter_2026060927221462,2026-06-09 10:22:48,111,A,B,C,E，1OPPOK12,D,,,,A,D，P,C，G，H,,A，C
GameCenter_2026060913311438,2026-06-09 10:17:53,50,A,B,D,B,F,,,,A，D,O,K,,G
GameCenter_2026060995981381,2026-06-09 10:07:28,48,A,B,A,A,A,,,,A,D,I，J,,B，C
GameCenter_2026060925111377,2026-06-09 10:06:47,172,A,A，B,G,E，红米tubor5max 天机9500s,E,C,5600,6750gre,A，B,D，I，J，L,M,G，H，J，M,B，F，I
GameCenter_2026060985441338,2026-06-09 10:00:30,49,A,B,B,A,E,,,,A,A，C，D，F，I,A，C，H,,A，C，G
GameCenter_2026060916421327,2026-06-09 09:58:22,89,A,B,C,A,B,,,,A,A，C，I，J，L,M,,C，E
GameCenter_2026060919161262,2026-06-09 09:45:10,178,A,A，B,F,D,E,C,r7-8840hx,rtx5060,A,A，D，I，J，O,A，B，H，I，L,,B，C，E
GameCenter_2026060957171230,2026-06-09 09:37:49,149,A,A,,,,C,i5-14600kf,RTX5060ti16g,A，B,D，I,E,O,B，C，E
GameCenter_2026060980631177,2026-06-09 09:26:07,68,A,B,C,E,E,,,,A,C，D，E，I，M,K,,A，B，C
GameCenter_2026060948901168,2026-06-09 09:24:43,66,A,A,,,,C,i5 13600kf,4070s,A,D，I，O,A，B，D，G，J,,A，B，G
GameCenter_2026060984191095,2026-06-09 09:10:03,71,A,B,H,B,D,,,,A，B,C，D，I，O，P,A，B，C，G，I,C，F，G，I，K,A，B，E
GameCenter_2026060924771064,2026-06-09 09:03:54,65,A,B,H,D,D,,,,A,C，D，I,I，J,,B，E，F
GameCenter_2026060993221026,2026-06-09 08:53:19,133,A,B,G,E，红米13,B,,,,A,A，J，L，O，P,A，C，L,,A
